Tarih Saat,Sıcaklık,Bağıl Nem,Basınç,Toprak Sıcaklığı
15/11/2020 16:14:12,12.1,46,902.1,9.4
15/11/2020 17:14:40,10.1,48.3,902.2,9.1
15/11/2020 18:15:07,6.5,53.1,902.4,8.9
15/11/2020 19:15:37,4.6,55.2,903,8.5
15/11/2020 20:16:00,5.9,56.6,903.3,8.2
15/11/2020 21:16:29,4.3,59.9,903.4,7.9
15/11/2020 22:16:57,5.4,58.4,903.5,7.7
15/11/2020 23:17:24,2.7,63.6,903.9,7.5
16/11/2020 00:17:54,4.2,62.4,903.9,7.3
16/11/2020 01:18:18,4.2,61.9,903.7,7.2
16/11/2020 02:18:47,4.7,60.9,903.3,7.2
16/11/2020 03:19:23,4.3,61.6,903.1,7.2
16/11/2020 04:19:51,3.6,62.9,903,7.2
16/11/2020 05:20:21,3,64,903,7
16/11/2020 06:20:48,0.8,66.1,903.1,6.8
16/11/2020 07:21:12,-0.1,66.8,903.4,6.6
16/11/2020 08:21:38,2.4,64.7,904.3,6.4
16/11/2020 09:22:07,6.5,59.3,904.3,6.2
16/11/2020 10:22:32,11.7,49.4,904.3,6.3
16/11/2020 11:23:03,12.6,47.5,904.4,6.9
16/11/2020 12:23:35,14.8,44.9,903.8,7.5
16/11/2020 13:24:02,14.3,44,903.1,8.2
16/11/2020 14:24:33,15.1,42.3,902.9,8.8
16/11/2020 15:25:00,13.2,43.8,902.8,9.2
16/11/2020 16:25:31,11.9,45.3,902.9,9.4
16/11/2020 17:26:00,9.6,48.7,902.7,9.3
16/11/2020 18:26:28,6.3,53.1,902.7,9.1
16/11/2020 19:26:56,4.9,54.8,903.2,8.7
16/11/2020 20:27:25,2.8,55.4,903.4,8.3
16/11/2020 21:27:55,2.8,57.1,903.5,7.9
16/11/2020 22:28:20,2,58.4,903.7,7.7
16/11/2020 23:28:46,1.8,59.8,904,7.4
17/11/2020 00:29:15,1.6,60.4,904.1,7.1
